disease,urgency,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8
Hepatitis B,HIGH,fever,yellow eyes,abdominal pain,,,,,
Hepatitis B,HIGH,abdominal pain,nausea,yellow eyes,,,,,
Hepatitis B,HIGH,abdominal pain,loss of appetite,nausea,,,,,
Hepatitis B,HIGH,nausea,loss of appetite,fever,abdominal pain,fatigue,yellow eyes,,
Hepatitis B,HIGH,yellow eyes,fatigue,fever,loss of appetite,,,,
Hepatitis B,HIGH,loss of appetite,yellow eyes,fever,,,,,
Hepatitis B,HIGH,fever,nausea,yellow eyes,abdominal pain,loss of appetite,,,
Hepatitis B,HIGH,fever,nausea,loss of appetite,abdominal pain,yellow eyes,fatigue,,
Hepatitis B,HIGH,yellow eyes,fatigue,fever,nausea,,,,
Hepatitis B,HIGH,nausea,abdominal pain,loss of appetite,fever,yellow eyes,,,
Hepatitis B,HIGH,nausea,loss of appetite,abdominal pain,,,,,
Hepatitis B,HIGH,loss of appetite,yellow eyes,nausea,,,,,
Hepatitis B,HIGH,loss of appetite,fatigue,nausea,abdominal pain,fever,,,
Hepatitis B,HIGH,yellow eyes,loss of appetite,fatigue,nausea,abdominal pain,fever,,
Hepatitis B,HIGH,fatigue,abdominal pain,yellow eyes,fever,,,,
Hepatitis B,HIGH,fatigue,fever,loss of appetite,nausea,yellow eyes,abdominal pain,,
Hepatitis B,HIGH,abdominal pain,fatigue,loss of appetite,fever,,,,
Hepatitis B,HIGH,yellow eyes,fatigue,abdominal pain,fever,,,,
Hepatitis B,HIGH,yellow eyes,nausea,loss of appetite,,,,,
Hepatitis B,HIGH,yellow eyes,loss of appetite,nausea,,,,,
Hypoglycemia,HIGH,fatigue,weakness,dizziness,headache,sweating,,,
Hypoglycemia,HIGH,dizziness,weakness,sweating,headache,,,,
Hypoglycemia,HIGH,sweating,weakness,fatigue,dizziness,,,,
Hypoglycemia,HIGH,weakness,fatigue,blurred vision,headache,sweating,,,
Hypoglycemia,HIGH,headache,sweating,weakness,fatigue,dizziness,,,
Hypoglycemia,HIGH,fatigue,dizziness,sweating,weakness,,,,
Hypoglycemia,HIGH,weakness,fatigue,sweating,headache,dizziness,blurred vision,,
Hypoglycemia,HIGH,dizziness,headache,weakness,blurred vision,sweating,fatigue,,
Hypoglycemia,HIGH,weakness,dizziness,fatigue,,,,,
Hypoglycemia,HIGH,fatigue,headache,sweating,weakness,,,,
Hypoglycemia,HIGH,blurred vision,fatigue,weakness,sweating,,,,
Hypoglycemia,HIGH,blurred vision,fatigue,sweating,,,,,
Hypoglycemia,HIGH,fatigue,dizziness,headache,weakness,,,,
Hypoglycemia,HIGH,headache,fatigue,sweating,dizziness,,,,
Hypoglycemia,HIGH,weakness,fatigue,blurred vision,headache,sweating,,,
Hypoglycemia,HIGH,dizziness,weakness,blurred vision,headache,sweating,,,
Hypoglycemia,HIGH,sweating,fatigue,headache,weakness,dizziness,,,
Hypoglycemia,HIGH,dizziness,blurred vision,headache,fatigue,,,,
Hypoglycemia,HIGH,weakness,blurred vision,headache,dizziness,fatigue,sweating,,
Hypoglycemia,HIGH,headache,sweating,weakness,,,,,
Hypoglycemia,HIGH,sweating,dizziness,weakness,,,,,
Hypoglycemia,HIGH,weakness,sweating,blurred vision,,,,,
Hypoglycemia,HIGH,fatigue,weakness,dizziness,blurred vision,sweating,headache,,
Hypoglycemia,HIGH,sweating,weakness,dizziness,fatigue,blurred vision,headache,,
Hypoglycemia,HIGH,fatigue,headache,weakness,dizziness,,,,
Hypoglycemia,HIGH,dizziness,fatigue,blurred vision,sweating,weakness,headache,,
Hypoglycemia,HIGH,blurred vision,sweating,headache,dizziness,fatigue,,,
Hypoglycemia,HIGH,fatigue,blurred vision,weakness,headache,,,,
Hypoglycemia,HIGH,sweating,blurred vision,headache,,,,,
Hypoglycemia,HIGH,fatigue,sweating,dizziness,,,,,
Hypoglycemia,HIGH,blurred vision,sweating,fatigue,weakness,headache,dizziness,,
Hypoglycemia,HIGH,fatigue,headache,dizziness,weakness,sweating,blurred vision,,
Hypoglycemia,HIGH,sweating,dizziness,blurred vision,weakness,headache,,,
Hypoglycemia,HIGH,weakness,blurred vision,sweating,dizziness,headache,fatigue,,
Hypoglycemia,HIGH,blurred vision,headache,fatigue,dizziness,,,,
Hypoglycemia,HIGH,dizziness,blurred vision,fatigue,weakness,sweating,,,
Hypoglycemia,HIGH,weakness,sweating,blurred vision,fatigue,dizziness,,,
Hypoglycemia,HIGH,weakness,blurred vision,sweating,dizziness,,,,
Hypoglycemia,HIGH,fatigue,sweating,headache,,,,,
Hypoglycemia,HIGH,sweating,dizziness,weakness,fatigue,blurred vision,,,
Hypoglycemia,HIGH,dizziness,weakness,headache,sweating,,,,
Hypoglycemia,HIGH,weakness,sweating,fatigue,blurred vision,headache,,,
Hypoglycemia,HIGH,fatigue,weakness,blurred vision,dizziness,,,,
Hypoglycemia,HIGH,weakness,sweating,blurred vision,headache,fatigue,dizziness,,
Hypoglycemia,HIGH,fatigue,weakness,blurred vision,sweating,dizziness,headache,,
Hypoglycemia,HIGH,sweating,dizziness,weakness,fatigue,headache,blurred vision,,
Hypoglycemia,HIGH,blurred vision,sweating,headache,fatigue,,,,
Hypoglycemia,HIGH,sweating,fatigue,blurred vision,dizziness,weakness,,,
Hypoglycemia,HIGH,sweating,fatigue,blurred vision,,,,,
Hypoglycemia,HIGH,sweating,headache,dizziness,,,,,
Hypoglycemia,HIGH,dizziness,blurred vision,fatigue,weakness,sweating,headache,,
Hypoglycemia,HIGH,dizziness,sweating,fatigue,headache,weakness,,,
Hypoglycemia,HIGH,fatigue,headache,blurred vision,dizziness,sweating,,,
Hypoglycemia,HIGH,headache,fatigue,weakness,dizziness,,,,
Hypoglycemia,HIGH,headache,blurred vision,weakness,sweating,fatigue,dizziness,,
Hypoglycemia,HIGH,weakness,fatigue,headache,sweating,blurred vision,,,
Hypoglycemia,HIGH,blurred vision,fatigue,headache,,,,,
Hypoglycemia,HIGH,dizziness,fatigue,weakness,blurred vision,,,,
Hypoglycemia,HIGH,blurred vision,sweating,weakness,dizziness,,,,
Hypoglycemia,HIGH,fatigue,dizziness,headache,weakness,sweating,blurred vision,,
Hypoglycemia,HIGH,blurred vision,fatigue,weakness,,,,,
Hypoglycemia,HIGH,headache,weakness,blurred vision,fatigue,dizziness,sweating,,
Hypoglycemia,HIGH,dizziness,sweating,weakness,fatigue,,,,
Hypoglycemia,HIGH,fatigue,dizziness,blurred vision,,,,,
Hypoglycemia,HIGH,headache,sweating,weakness,fatigue,blurred vision,,,
Hypoglycemia,HIGH,dizziness,weakness,blurred vision,,,,,
Hypoglycemia,HIGH,dizziness,headache,sweating,fatigue,,,,
Hypoglycemia,HIGH,weakness,sweating,headache,fatigue,blurred vision,,,
Hypoglycemia,HIGH,dizziness,sweating,blurred vision,weakness,,,,
Hypoglycemia,HIGH,fatigue,headache,sweating,dizziness,blurred vision,,,
Hypoglycemia,HIGH,sweating,fatigue,weakness,,,,,
Hypoglycemia,HIGH,dizziness,blurred vision,fatigue,sweating,,,,
Hypoglycemia,HIGH,fatigue,blurred vision,sweating,weakness,headache,,,
Hypoglycemia,HIGH,sweating,headache,weakness,fatigue,blurred vision,dizziness,,
Hypoglycemia,HIGH,blurred vision,dizziness,fatigue,headache,sweating,weakness,,
Hypoglycemia,HIGH,blurred vision,dizziness,sweating,fatigue,,,,
Hypoglycemia,HIGH,fatigue,weakness,sweating,blurred vision,dizziness,headache,,
Hypoglycemia,HIGH,headache,weakness,fatigue,dizziness,,,,
Hypoglycemia,HIGH,blurred vision,fatigue,weakness,,,,,
Hypoglycemia,HIGH,blurred vision,headache,sweating,dizziness,weakness,,,
Hypertension,MEDIUM,headache,chest pain,dizziness,blurred vision,fatigue,,,
Hypertension,MEDIUM,fatigue,blurred vision,headache,dizziness,,,,
Hypertension,MEDIUM,headache,chest pain,blurred vision,,,,,
Hypertension,MEDIUM,dizziness,chest pain,headache,,,,,
Hypertension,MEDIUM,chest pain,fatigue,dizziness,headache,blurred vision,,,
Hypertension,MEDIUM,headache,blurred vision,fatigue,,,,,
Hypertension,MEDIUM,headache,fatigue,blurred vision,chest pain,,,,
Hypertension,MEDIUM,blurred vision,fatigue,dizziness,chest pain,headache,,,
Hypertension,MEDIUM,headache,chest pain,dizziness,blurred vision,,,,
Hypertension,MEDIUM,headache,dizziness,blurred vision,chest pain,,,,
Hypertension,MEDIUM,fatigue,headache,chest pain,,,,,
Hypertension,MEDIUM,fatigue,blurred vision,chest pain,dizziness,headache,,,
Hypertension,MEDIUM,dizziness,headache,fatigue,,,,,
Hypertension,MEDIUM,chest pain,fatigue,dizziness,blurred vision,headache,,,
Hypertension,MEDIUM,blurred vision,fatigue,chest pain,,,,,
Hypertension,MEDIUM,dizziness,headache,fatigue,chest pain,blurred vision,,,
Hypertension,MEDIUM,chest pain,dizziness,blurred vision,headache,,,,
Hypertension,MEDIUM,dizziness,blurred vision,fatigue,headache,,,,
Hypertension,MEDIUM,blurred vision,chest pain,headache,dizziness,,,,
Hypertension,MEDIUM,blurred vision,dizziness,fatigue,,,,,
Hypertension,MEDIUM,fatigue,blurred vision,headache,chest pain,dizziness,,,
Hypertension,MEDIUM,chest pain,dizziness,fatigue,,,,,
Hypertension,MEDIUM,headache,chest pain,fatigue,,,,,
Hypertension,MEDIUM,blurred vision,fatigue,headache,chest pain,,,,
Hypertension,MEDIUM,chest pain,fatigue,headache,,,,,
Hypertension,MEDIUM,dizziness,chest pain,headache,fatigue,,,,
Hypertension,MEDIUM,fatigue,chest pain,dizziness,,,,,
Hypertension,MEDIUM,dizziness,headache,fatigue,chest pain,,,,
Hypertension,MEDIUM,chest pain,headache,fatigue,blurred vision,,,,
Hypertension,MEDIUM,blurred vision,chest pain,dizziness,fatigue,,,,
Hypertension,MEDIUM,headache,dizziness,chest pain,,,,,
Hypertension,MEDIUM,fatigue,blurred vision,headache,chest pain,,,,
Hypertension,MEDIUM,fatigue,dizziness,blurred vision,chest pain,,,,
Hypertension,MEDIUM,headache,fatigue,chest pain,blurred vision,dizziness,,,
Hypertension,MEDIUM,headache,chest pain,blurred vision,dizziness,fatigue,,,
Hypertension,MEDIUM,chest pain,blurred vision,dizziness,fatigue,,,,
Hypertension,MEDIUM,headache,dizziness,blurred vision,chest pain,,,,
Hypertension,MEDIUM,dizziness,fatigue,blurred vision,,,,,
Hypertension,MEDIUM,dizziness,chest pain,fatigue,,,,,
Hypertension,MEDIUM,blurred vision,fatigue,chest pain,,,,,
Hypertension,MEDIUM,dizziness,chest pain,blurred vision,,,,,
Hypertension,MEDIUM,fatigue,headache,chest pain,dizziness,,,,
Hypertension,MEDIUM,blurred vision,chest pain,dizziness,fatigue,headache,,,
Hypertension,MEDIUM,chest pain,blurred vision,fatigue,headache,,,,
Hypertension,MEDIUM,chest pain,blurred vision,headache,,,,,
Hypertension,MEDIUM,fatigue,headache,chest pain,blurred vision,,,,
Hypertension,MEDIUM,headache,dizziness,chest pain,fatigue,blurred vision,,,
Hypertension,MEDIUM,fatigue,headache,dizziness,chest pain,,,,
Hypertension,MEDIUM,dizziness,fatigue,chest pain,blurred vision,headache,,,
Hypertension,MEDIUM,chest pain,headache,fatigue,dizziness,,,,
Hypertension,MEDIUM,chest pain,headache,dizziness,,,,,
Hypertension,MEDIUM,fatigue,chest pain,dizziness,,,,,
Hypertension,MEDIUM,blurred vision,fatigue,dizziness,chest pain,,,,
Hypertension,MEDIUM,fatigue,dizziness,headache,blurred vision,,,,
Hypertension,MEDIUM,dizziness,fatigue,headache,chest pain,blurred vision,,,
Hypertension,MEDIUM,dizziness,blurred vision,headache,fatigue,,,,
Hypertension,MEDIUM,chest pain,fatigue,headache,dizziness,blurred vision,,,
Hypertension,MEDIUM,dizziness,headache,chest pain,,,,,
Hypertension,MEDIUM,headache,chest pain,blurred vision,fatigue,dizziness,,,
Hypertension,MEDIUM,dizziness,blurred vision,fatigue,headache,,,,
Hypertension,MEDIUM,fatigue,headache,dizziness,blurred vision,,,,
Hypertension,MEDIUM,dizziness,headache,chest pain,,,,,
Hypertension,MEDIUM,fatigue,dizziness,headache,blurred vision,,,,
Hypertension,MEDIUM,dizziness,blurred vision,fatigue,chest pain,headache,,,
Hypertension,MEDIUM,chest pain,blurred vision,headache,,,,,
Hypertension,MEDIUM,fatigue,headache,blurred vision,chest pain,,,,
Hypertension,MEDIUM,dizziness,blurred vision,chest pain,headache,fatigue,,,
Hypertension,MEDIUM,headache,chest pain,fatigue,,,,,
Hypertension,MEDIUM,blurred vision,dizziness,headache,chest pain,,,,
Hypertension,MEDIUM,fatigue,chest pain,dizziness,,,,,
Hypertension,MEDIUM,dizziness,fatigue,headache,blurred vision,,,,
Hypertension,MEDIUM,dizziness,chest pain,headache,fatigue,,,,
Hypertension,MEDIUM,headache,fatigue,dizziness,blurred vision,,,,
Hypertension,MEDIUM,headache,chest pain,dizziness,,,,,
Hypertension,MEDIUM,blurred vision,headache,dizziness,,,,,
Hypertension,MEDIUM,blurred vision,headache,chest pain,fatigue,dizziness,,,
Hypertension,MEDIUM,blurred vision,dizziness,chest pain,fatigue,headache,,,
Hypertension,MEDIUM,blurred vision,dizziness,headache,fatigue,chest pain,,,
Hypertension,MEDIUM,headache,blurred vision,chest pain,,,,,
Hypertension,MEDIUM,chest pain,dizziness,fatigue,blurred vision,headache,,,
Diabetes,MEDIUM,frequent urination,loss of appetite,weight loss,fatigue,weakness,,,
Diabetes,MEDIUM,fatigue,loss of appetite,weakness,weight loss,,,,
Diabetes,MEDIUM,fatigue,blurred vision,weight loss,frequent urination,,,,
Diabetes,MEDIUM,frequent urination,fatigue,loss of appetite,,,,,
Diabetes,MEDIUM,fatigue,loss of appetite,weakness,frequent urination,blurred vision,,,
Diabetes,MEDIUM,blurred vision,frequent urination,loss of appetite,weight loss,weakness,,,
Diabetes,MEDIUM,fatigue,frequent urination,weight loss,weakness,blurred vision,,,
Diabetes,MEDIUM,weight loss,weakness,blurred vision,frequent urination,fatigue,loss of appetite,,
Diabetes,MEDIUM,weakness,loss of appetite,frequent urination,fatigue,blurred vision,weight loss,,
Diabetes,MEDIUM,fatigue,loss of appetite,frequent urination,weakness,,,,
Diabetes,MEDIUM,fatigue,loss of appetite,frequent urination,weakness,,,,
Diabetes,MEDIUM,loss of appetite,weight loss,frequent urination,fatigue,weakness,blurred vision,,
Diabetes,MEDIUM,blurred vision,loss of appetite,frequent urination,,,,,
Diabetes,MEDIUM,loss of appetite,frequent urination,blurred vision,,,,,
Diabetes,MEDIUM,frequent urination,loss of appetite,weakness,fatigue,blurred vision,,,
Diabetes,MEDIUM,loss of appetite,weight loss,fatigue,frequent urination,weakness,blurred vision,,
Diabetes,MEDIUM,fatigue,frequent urination,blurred vision,,,,,
Diabetes,MEDIUM,loss of appetite,blurred vision,fatigue,weakness,weight loss,,,
Diabetes,MEDIUM,frequent urination,weakness,loss of appetite,weight loss,fatigue,,,
Diabetes,MEDIUM,fatigue,loss of appetite,weight loss,,,,,
Diabetes,MEDIUM,fatigue,weakness,blurred vision,,,,,
Diabetes,MEDIUM,loss of appetite,fatigue,weakness,blurred vision,,,,
Diabetes,MEDIUM,frequent urination,weight loss,blurred vision,fatigue,weakness,loss of appetite,,
Diabetes,MEDIUM,loss of appetite,frequent urination,weight loss,,,,,
Diabetes,MEDIUM,weakness,loss of appetite,weight loss,fatigue,blurred vision,frequent urination,,
Diabetes,MEDIUM,weight loss,blurred vision,fatigue,frequent urination,loss of appetite,,,
Diabetes,MEDIUM,loss of appetite,weight loss,frequent urination,,,,,
Diabetes,MEDIUM,frequent urination,fatigue,blurred vision,weakness,loss of appetite,,,
Diabetes,MEDIUM,weakness,blurred vision,frequent urination,fatigue,,,,
Diabetes,MEDIUM,weight loss,frequent urination,weakness,blurred vision,fatigue,loss of appetite,,
Diabetes,MEDIUM,fatigue,blurred vision,weakness,frequent urination,,,,
Diabetes,MEDIUM,frequent urination,fatigue,weight loss,weakness,blurred vision,,,
Diabetes,MEDIUM,blurred vision,weakness,fatigue,loss of appetite,frequent urination,weight loss,,
Diabetes,MEDIUM,frequent urination,fatigue,loss of appetite,weakness,,,,
Diabetes,MEDIUM,weakness,blurred vision,fatigue,weight loss,loss of appetite,,,
Diabetes,MEDIUM,fatigue,blurred vision,weakness,frequent urination,weight loss,,,
Diabetes,MEDIUM,fatigue,loss of appetite,weakness,,,,,
Diabetes,MEDIUM,loss of appetite,fatigue,blurred vision,weakness,frequent urination,,,
Diabetes,MEDIUM,weakness,weight loss,fatigue,loss of appetite,frequent urination,,,
Diabetes,MEDIUM,fatigue,frequent urination,weight loss,,,,,
Diabetes,MEDIUM,fatigue,blurred vision,weight loss,,,,,
Diabetes,MEDIUM,frequent urination,blurred vision,loss of appetite,weight loss,,,,
Diabetes,MEDIUM,fatigue,weight loss,weakness,blurred vision,,,,
Diabetes,MEDIUM,weight loss,blurred vision,loss of appetite,frequent urination,fatigue,,,
Diabetes,MEDIUM,frequent urination,blurred vision,loss of appetite,fatigue,,,,
Diabetes,MEDIUM,blurred vision,fatigue,frequent urination,weight loss,loss of appetite,,,
Diabetes,MEDIUM,weakness,frequent urination,fatigue,loss of appetite,,,,
Diabetes,MEDIUM,weakness,loss of appetite,blurred vision,,,,,
Diabetes,MEDIUM,weakness,weight loss,frequent urination,,,,,
Diabetes,MEDIUM,frequent urination,weight loss,fatigue,,,,,
Diabetes,MEDIUM,weight loss,weakness,blurred vision,,,,,
Diabetes,MEDIUM,weakness,blurred vision,loss of appetite,frequent urination,,,,
Diabetes,MEDIUM,fatigue,weakness,frequent urination,loss of appetite,weight loss,,,
Diabetes,MEDIUM,weakness,blurred vision,weight loss,fatigue,,,,
Diabetes,MEDIUM,blurred vision,weakness,frequent urination,fatigue,loss of appetite,,,
Diabetes,MEDIUM,loss of appetite,frequent urination,weight loss,blurred vision,weakness,,,
Diabetes,MEDIUM,weight loss,blurred vision,weakness,,,,,
Diabetes,MEDIUM,fatigue,weight loss,loss of appetite,frequent urination,weakness,,,
Diabetes,MEDIUM,weakness,frequent urination,weight loss,loss of appetite,fatigue,,,
Diabetes,MEDIUM,frequent urination,fatigue,blurred vision,loss of appetite,weight loss,weakness,,
Diabetes,MEDIUM,loss of appetite,fatigue,weight loss,blurred vision,frequent urination,weakness,,
Diabetes,MEDIUM,frequent urination,fatigue,loss of appetite,,,,,
Diabetes,MEDIUM,loss of appetite,weight loss,frequent urination,blurred vision,weakness,fatigue,,
Diabetes,MEDIUM,frequent urination,fatigue,weakness,weight loss,loss of appetite,,,
Diabetes,MEDIUM,blurred vision,weight loss,loss of appetite,weakness,fatigue,frequent urination,,
Diabetes,MEDIUM,blurred vision,loss of appetite,fatigue,frequent urination,weight loss,,,
Diabetes,MEDIUM,weakness,fatigue,weight loss,frequent urination,,,,
Diabetes,MEDIUM,weight loss,fatigue,frequent urination,weakness,,,,
Diabetes,MEDIUM,loss of appetite,weakness,frequent urination,weight loss,blurred vision,,,
Diabetes,MEDIUM,weakness,blurred vision,weight loss,loss of appetite,,,,
Diabetes,MEDIUM,weight loss,fatigue,loss of appetite,blurred vision,,,,
Diabetes,MEDIUM,loss of appetite,blurred vision,frequent urination,weight loss,weakness,fatigue,,
Diabetes,MEDIUM,loss of appetite,fatigue,frequent urination,,,,,
Diabetes,MEDIUM,fatigue,blurred vision,frequent urination,weight loss,weakness,loss of appetite,,
Diabetes,MEDIUM,blurred vision,weakness,loss of appetite,,,,,
Diabetes,MEDIUM,weight loss,frequent urination,weakness,fatigue,loss of appetite,,,
Diabetes,MEDIUM,loss of appetite,frequent urination,weakness,,,,,
Diabetes,MEDIUM,fatigue,weight loss,blurred vision,loss of appetite,frequent urination,,,
Diabetes,MEDIUM,frequent urination,fatigue,loss of appetite,weakness,weight loss,blurred vision,,
Diabetes,MEDIUM,weakness,weight loss,fatigue,,,,,
Gastroenteritis,MEDIUM,nausea,vomiting,weakness,diarrhea,fever,abdominal pain,,
Gastroenteritis,MEDIUM,abdominal pain,fever,vomiting,nausea,,,,
Gastroenteritis,MEDIUM,vomiting,abdominal pain,weakness,,,,,
Gastroenteritis,MEDIUM,vomiting,diarrhea,nausea,fever,abdominal pain,weakness,,
Gastroenteritis,MEDIUM,nausea,diarrhea,vomiting,weakness,,,,
Gastroenteritis,MEDIUM,weakness,vomiting,fever,diarrhea,,,,
Gastroenteritis,MEDIUM,abdominal pain,weakness,fever,nausea,vomiting,diarrhea,,
Gastroenteritis,MEDIUM,weakness,diarrhea,fever,nausea,vomiting,,,
Gastroenteritis,MEDIUM,fever,diarrhea,abdominal pain,weakness,nausea,,,
Gastroenteritis,MEDIUM,vomiting,fever,diarrhea,nausea,,,,
Gastroenteritis,MEDIUM,fever,nausea,vomiting,weakness,,,,
Gastroenteritis,MEDIUM,vomiting,diarrhea,weakness,fever,,,,
Gastroenteritis,MEDIUM,vomiting,diarrhea,weakness,nausea,abdominal pain,fever,,
Gastroenteritis,MEDIUM,vomiting,abdominal pain,weakness,diarrhea,fever,nausea,,
Gastroenteritis,MEDIUM,vomiting,nausea,diarrhea,,,,,
Gastroenteritis,MEDIUM,diarrhea,vomiting,nausea,abdominal pain,fever,,,
Gastroenteritis,MEDIUM,nausea,diarrhea,abdominal pain,vomiting,,,,
Gastroenteritis,MEDIUM,abdominal pain,diarrhea,fever,nausea,,,,
Gastroenteritis,MEDIUM,weakness,fever,abdominal pain,diarrhea,vomiting,nausea,,
Gastroenteritis,MEDIUM,weakness,nausea,vomiting,fever,,,,
Gastroenteritis,MEDIUM,vomiting,fever,nausea,weakness,,,,
Gastroenteritis,MEDIUM,abdominal pain,vomiting,diarrhea,,,,,
Gastroenteritis,MEDIUM,fever,vomiting,abdominal pain,nausea,weakness,diarrhea,,
Gastroenteritis,MEDIUM,weakness,abdominal pain,nausea,fever,vomiting,,,
Gastroenteritis,MEDIUM,diarrhea,vomiting,nausea,fever,abdominal pain,weakness,,
Gastroenteritis,MEDIUM,abdominal pain,diarrhea,vomiting,nausea,weakness,fever,,
Gastroenteritis,MEDIUM,diarrhea,fever,nausea,,,,,
Gastroenteritis,MEDIUM,diarrhea,abdominal pain,fever,,,,,
Gastroenteritis,MEDIUM,fever,nausea,abdominal pain,diarrhea,,,,
Gastroenteritis,MEDIUM,diarrhea,weakness,fever,nausea,abdominal pain,vomiting,,
Gastroenteritis,MEDIUM,nausea,fever,diarrhea,vomiting,abdominal pain,weakness,,
Gastroenteritis,MEDIUM,abdominal pain,nausea,vomiting,,,,,
Gastroenteritis,MEDIUM,vomiting,nausea,weakness,,,,,
Gastroenteritis,MEDIUM,fever,vomiting,nausea,,,,,
Gastroenteritis,MEDIUM,diarrhea,abdominal pain,fever,nausea,,,,
Gastroenteritis,MEDIUM,diarrhea,abdominal pain,fever,nausea,weakness,vomiting,,
Gastroenteritis,MEDIUM,vomiting,fever,abdominal pain,,,,,
Gastroenteritis,MEDIUM,diarrhea,weakness,fever,abdominal pain,nausea,vomiting,,
Gastroenteritis,MEDIUM,fever,diarrhea,nausea,abdominal pain,,,,
Gastroenteritis,MEDIUM,nausea,vomiting,fever,abdominal pain,weakness,diarrhea,,
Gastroenteritis,MEDIUM,diarrhea,abdominal pain,fever,,,,,
Gastroenteritis,MEDIUM,abdominal pain,nausea,fever,,,,,
Gastroenteritis,MEDIUM,vomiting,weakness,diarrhea,,,,,
Gastroenteritis,MEDIUM,fever,nausea,vomiting,weakness,diarrhea,,,
Gastroenteritis,MEDIUM,fever,diarrhea,weakness,abdominal pain,vomiting,nausea,,
Gastroenteritis,MEDIUM,vomiting,fever,weakness,abdominal pain,nausea,,,
Gastroenteritis,MEDIUM,weakness,nausea,abdominal pain,diarrhea,,,,
Gastroenteritis,MEDIUM,weakness,nausea,abdominal pain,diarrhea,fever,vomiting,,
Gastroenteritis,MEDIUM,fever,vomiting,weakness,,,,,
Gastroenteritis,MEDIUM,vomiting,nausea,abdominal pain,fever,weakness,,,
Gastroenteritis,MEDIUM,abdominal pain,weakness,nausea,diarrhea,vomiting,fever,,
Gastroenteritis,MEDIUM,fever,vomiting,weakness,abdominal pain,diarrhea,nausea,,
Gastroenteritis,MEDIUM,fever,vomiting,diarrhea,nausea,,,,
Gastroenteritis,MEDIUM,nausea,abdominal pain,weakness,vomiting,fever,,,
Gastroenteritis,MEDIUM,abdominal pain,nausea,weakness,fever,diarrhea,vomiting,,
Gastroenteritis,MEDIUM,vomiting,abdominal pain,fever,nausea,,,,
Gastroenteritis,MEDIUM,nausea,weakness,abdominal pain,,,,,
Gastroenteritis,MEDIUM,weakness,fever,diarrhea,vomiting,,,,
Gastroenteritis,MEDIUM,abdominal pain,vomiting,fever,nausea,diarrhea,weakness,,
Gastroenteritis,MEDIUM,weakness,vomiting,nausea,diarrhea,fever,,,
Gastroenteritis,MEDIUM,weakness,diarrhea,abdominal pain,nausea,,,,
Gastroenteritis,MEDIUM,nausea,abdominal pain,vomiting,diarrhea,,,,
Gastroenteritis,MEDIUM,fever,abdominal pain,vomiting,nausea,,,,
Gastroenteritis,MEDIUM,nausea,weakness,vomiting,fever,abdominal pain,,,
Gastroenteritis,MEDIUM,vomiting,abdominal pain,diarrhea,fever,nausea,weakness,,
Gastroenteritis,MEDIUM,diarrhea,abdominal pain,fever,,,,,
Gastroenteritis,MEDIUM,vomiting,diarrhea,abdominal pain,,,,,
Gastroenteritis,MEDIUM,diarrhea,fever,abdominal pain,weakness,vomiting,nausea,,
Gastroenteritis,MEDIUM,nausea,diarrhea,weakness,,,,,
Gastroenteritis,MEDIUM,vomiting,abdominal pain,nausea,diarrhea,,,,
Gastroenteritis,MEDIUM,weakness,fever,abdominal pain,vomiting,,,,
Gastroenteritis,MEDIUM,vomiting,diarrhea,weakness,abdominal pain,nausea,fever,,
Gastroenteritis,MEDIUM,nausea,vomiting,fever,weakness,diarrhea,abdominal pain,,
Gastroenteritis,MEDIUM,vomiting,diarrhea,weakness,nausea,abdominal pain,fever,,
Gastroenteritis,MEDIUM,nausea,abdominal pain,diarrhea,,,,,
Gastroenteritis,MEDIUM,diarrhea,abdominal pain,fever,weakness,vomiting,nausea,,
Gastroenteritis,MEDIUM,weakness,diarrhea,abdominal pain,,,,,
Gastroenteritis,MEDIUM,weakness,vomiting,abdominal pain,fever,diarrhea,nausea,,
Gastroenteritis,MEDIUM,abdominal pain,nausea,fever,weakness,diarrhea,vomiting,,
Gastroenteritis,MEDIUM,vomiting,nausea,diarrhea,weakness,abdominal pain,,,
Asthma,MEDIUM,difficulty breathing,cough,wheezing,chest pain,fatigue,,,
Asthma,MEDIUM,cough,chest pain,wheezing,,,,,
Asthma,MEDIUM,wheezing,chest pain,fatigue,,,,,
Asthma,MEDIUM,wheezing,chest pain,fatigue,,,,,
Asthma,MEDIUM,chest pain,wheezing,fatigue,difficulty breathing,,,,
Asthma,MEDIUM,chest pain,fatigue,cough,difficulty breathing,,,,
Asthma,MEDIUM,cough,chest pain,fatigue,,,,,
Asthma,MEDIUM,wheezing,cough,fatigue,,,,,
Asthma,MEDIUM,difficulty breathing,wheezing,cough,,,,,
Asthma,MEDIUM,fatigue,cough,chest pain,difficulty breathing,wheezing,,,
Asthma,MEDIUM,wheezing,difficulty breathing,chest pain,fatigue,,,,
Asthma,MEDIUM,chest pain,fatigue,cough,wheezing,difficulty breathing,,,
Asthma,MEDIUM,chest pain,fatigue,difficulty breathing,cough,wheezing,,,
Asthma,MEDIUM,cough,chest pain,fatigue,wheezing,difficulty breathing,,,
Asthma,MEDIUM,fatigue,difficulty breathing,cough,chest pain,wheezing,,,
Asthma,MEDIUM,fatigue,difficulty breathing,cough,,,,,
Asthma,MEDIUM,fatigue,wheezing,cough,chest pain,,,,
